MECHANISM,SPECIATE_ID,SPECIES,MOLES
CB6R3_AE7,418,UNR,1
CB6R3_AE7,419,IVOC,1
CB6R3_AE7,420,PAR,4
CB6R3_AE7,420,UNR,2
CB6R3_AE7,421,PAR,2
CB6R3_AE7,422,IVOC,1
CB6R3_AE7,423,IVOC,1
CB6R3_AE7,424,PAR,12
CB6R3_AE7,425,PAR,6.5
CB6R3_AE7,425,UNR,0.5
CB6R3_AE7,426,PAR,12
CB6R3_AE7,427,PAR,10
CB6R3_AE7,428,PAR,8.667
CB6R3_AE7,428,UNR,0.3333
CB6R3_AE7,429,PAR,11
CB6R3_AE7,430,PAR,13
CB6R3_AE7,431,IVOC,1
CB6R3_AE7,432,IVOC,1
CB6R3_AE7,433,PAR,7
CB6R3_AE7,433,UNR,1
CB6R3_AE7,434,IOLE,0.0326
CB6R3_AE7,434,OLE,0.0355
CB6R3_AE7,434,PAR,8.106
CB6R3_AE7,434,TERP,0.001
CB6R3_AE7,434,TOL,0.0683
CB6R3_AE7,434,UNR,0.2021
CB6R3_AE7,434,XYLMN,0.0911
CB6R3_AE7,435,TERP,1
CB6R3_AE7,437,IVOC,1
CB6R3_AE7,438,ETHA,1
CB6R3_AE7,439,IVOC,1
CB6R3_AE7,440,PAR,3
CB6R3_AE7,440,UNR,1
CB6R3_AE7,441,OLE,1
CB6R3_AE7,441,PAR,2
CB6R3_AE7,441,UNR,1
CB6R3_AE7,442,ETOH,1
CB6R3_AE7,443,UNR,2
CB6R3_AE7,444,IVOC,1
CB6R3_AE7,445,PAR,4
CB6R3_AE7,446,PAR,2
CB6R3_AE7,447,PAR,11
CB6R3_AE7,448,PAR,6
CB6R3_AE7,448,UNR,1
CB6R3_AE7,449,PAR,1
CB6R3_AE7,449,TOL,1
CB6R3_AE7,450,PAR,8
CB6R3_AE7,451,PAR,7
CB6R3_AE7,452,ETH,1
CB6R3_AE7,453,UNR,2
CB6R3_AE7,454,UNR,2
CB6R3_AE7,455,IVOC,1
CB6R3_AE7,456,PAR,7
CB6R3_AE7,456,UNR,1
CB6R3_AE7,457,PAR,4
CB6R3_AE7,457,UNR,1
CB6R3_AE7,458,PAR,5
CB6R3_AE7,459,PAR,0.2
CB6R3_AE7,459,UNR,1.8
CB6R3_AE7,461,PAR,8.5
CB6R3_AE7,461,UNR,0.5
CB6R3_AE7,462,PAR,9
CB6R3_AE7,463,PAR,10
CB6R3_AE7,464,PAR,1
CB6R3_AE7,464,XYLMN,1
CB6R3_AE7,465,FORM,1
CB6R3_AE7,466,FACD,1
CB6R3_AE7,467,IOLE,0.0016
CB6R3_AE7,467,OLE,0.11
CB6R3_AE7,467,PAR,5.3
CB6R3_AE7,467,TOL,0.098
CB6R3_AE7,467,UNR,1.52
